City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,63.77,76,100,3.98,ZA,1700369953
1,papatowai,-46.5619,169.4708,55.53,61,22,9.46,NZ,1700369953
2,neya,58.2972,43.8681,18.09,72,60,6.55,RU,1700369954
3,adamstown,-25.066,-130.1015,71.24,87,100,21.16,PN,1700369954
4,keflavik,64.0049,-22.5624,32.43,86,0,8.05,IS,1700369955
5,burang,30.25,81.1667,38.25,22,1,6.67,CN,1700369955
6,bilibino,68.0546,166.4372,-19.68,100,98,3.87,RU,1700369956
7,korhogo,9.45,-5.6333,76.24,77,96,2.53,CI,1700369957
8,amungan,15.3652,119.9582,84.51,58,28,6.87,PH,1700369957
9,waitangi,-43.9535,-176.5597,50.83,95,100,5.01,NZ,1700369958
10,salalah,17.0151,54.0924,80.46,66,6,4.27,OM,1700369958
11,iqaluit,63.7506,-68.5145,24.53,79,100,10.36,CA,1700369958
12,port-aux-francais,-49.35,70.2167,41.25,92,97,23.69,TF,1700369959
13,xai-xai,-25.0519,33.6442,77.58,57,100,7.02,MZ,1700369959
14,dudinka,69.4058,86.1778,-11.38,99,55,7.61,RU,1700369960
15,oltinko'l,40.8011,72.1634,60.04,41,100,2.35,UZ,1700369960
16,badger,64.8,-147.5333,7.05,85,100,3.44,US,1700369961
17,kodiak,57.79,-152.4072,26.11,54,0,8.05,US,1700369961
18,auki,-8.7676,160.7034,82.92,73,74,4.9,SB,1700369962
19,cole harbour,44.6724,-63.4751,44.96,92,100,11.99,CA,1700369962
20,ayora,39.0585,-1.0563,49.64,64,9,4.23,ES,1700369962
21,albany,42.6001,-73.9662,33.8,77,1,1.01,US,1700369963
22,uturoa,-16.7333,-151.4333,78.8,79,57,22.48,PF,1700369963
23,tralee,52.2704,-9.7026,54.01,93,100,18.41,IE,1700369964
24,qaqortoq,60.7167,-46.0333,31.08,99,100,3.8,GL,1700369964
25,holualoa,19.6228,-155.9522,76.84,74,40,10.36,US,1700369964
26,wailua homesteads,22.0669,-159.378,77.43,85,100,12.66,US,1700369965
27,whitehorse,60.7161,-135.0538,9.37,60,100,12.66,CA,1700369965
28,shiyan,32.6475,110.7781,68.02,39,0,7.16,CN,1700369966
29,ulsteinvik,62.3432,5.8487,40.75,66,100,8.99,NO,1700369811
30,hawaiian paradise park,19.5933,-154.9731,74.71,89,100,6.91,US,1700369966
31,caxito,-8.5785,13.6643,74.48,95,76,0.78,AO,1700369967
32,new norfolk,-42.7826,147.0587,65.7,50,93,3.4,AU,1700369967
33,blackmans bay,-43.0167,147.3167,64.53,72,88,6.6,AU,1700369968
34,pitimbu,-7.4706,-34.8086,79.39,83,8,10.11,BR,1700369968
35,necochea,-38.5473,-58.7368,47.5,47,2,12.06,AR,1700369969
36,papao,-17.75,-149.55,82.08,81,68,25.14,PF,1700369969
37,aykhal,66.0,111.5,-8.27,99,78,4.94,RU,1700369969
38,kimbe,-5.5502,150.1429,84.99,71,38,2.44,PG,1700369970
39,harper,4.375,-7.7169,77.97,86,92,4.52,LR,1700369971
40,port alfred,-33.5906,26.891,62.19,98,100,6.8,ZA,1700369971
41,san luis de la loma,17.2706,-100.8939,78.85,88,7,2.44,MX,1700369972
42,ribeira grande,38.5167,-28.7,58.77,73,54,8.99,PT,1700369972
43,avarua,-21.2078,-159.775,75.25,64,75,12.66,CK,1700369972
44,lae,-6.7221,146.9847,90.27,71,38,8.01,PG,1700369973
45,mazagao,-0.115,-51.2894,82.45,90,97,4.81,BR,1700369973
46,ushuaia,-54.8,-68.3,33.46,75,75,21.85,AR,1700369974
47,edinburgh of the seven seas,-37.0676,-12.3116,55.24,84,43,37.4,SH,1700369974
48,puerto aysen,-45.4,-72.7,41.05,100,100,4.34,CL,1700369975
49,ilulissat,69.2167,-51.1,34.52,70,100,15.79,GL,1700369975
50,kushtia,23.9011,89.1221,81.7,55,0,4.94,BD,1700369975
51,udachny,66.4167,112.4,-12.12,99,39,1.3,RU,1700369976
52,izyaslav,50.1195,26.8213,28.89,81,75,3.98,UA,1700369976
53,gulf shores,30.246,-87.7008,63.0,81,0,3.44,US,1700369843
54,hithadhoo,-0.6,73.0833,82.29,78,16,12.62,MV,1700369977
55,nantucket,41.2835,-70.0995,41.05,77,20,11.5,US,1700369978
56,argo,37.6333,22.7333,52.79,54,3,3.56,GR,1700369978
57,yellowknife,62.456,-114.3525,25.41,95,100,13.8,CA,1700369758
58,portland,45.5234,-122.6762,46.62,94,100,8.05,US,1700369963
59,piscu,45.5,27.7333,34.77,72,84,27.31,RO,1700369979
60,mount gambier,-37.8333,140.7667,68.54,48,100,8.63,AU,1700369980
61,howard springs,-12.497,131.047,100.98,46,93,11.9,AU,1700369980
62,dehri,24.8667,84.1833,81.03,51,0,3.62,IN,1700369981
63,puerto natales,-51.7236,-72.4875,32.14,89,8,3.11,CL,1700369981
64,grytviken,-54.2811,-36.5092,33.96,98,100,4.23,GS,1700369982
65,jamestown,42.097,-79.2353,45.99,85,75,9.22,US,1700369696
66,invercargill,-46.4,168.35,58.01,64,46,8.01,NZ,1700369983
67,cockburn town,21.4612,-71.1419,82.09,77,27,14.12,TC,1700369983
68,callao,-12.0667,-77.15,67.71,82,0,8.05,PE,1700369880
69,island harbour,50.724,-1.2758,56.93,86,12,13.0,GB,1700369985
70,kalymnos,36.95,26.9833,54.93,66,40,10.36,GR,1700369986
71,port-vila,-17.7338,168.3219,83.8,70,75,12.66,VU,1700369986
72,qianzhou,28.3167,109.7167,72.21,46,1,1.39,CN,1700369986
73,vilyuysk,63.7553,121.6247,3.0,94,99,3.0,RU,1700369987
74,chalus,36.655,51.4204,56.66,94,20,2.3,IR,1700369987
75,maragogi,-9.0122,-35.2225,75.7,85,6,6.98,BR,1700369988
76,puerto ayora,-0.7393,-90.3518,70.56,96,33,5.14,EC,1700369988
77,timimoun,29.2639,0.231,55.78,35,0,9.22,DZ,1700369721
78,saipan,15.1355,145.701,88.5,79,75,17.27,MP,1700369989
79,port lincoln,-34.7333,135.8667,65.16,60,83,14.09,AU,1700369990
80,satipo,-11.2522,-74.6386,74.64,85,100,2.44,PE,1700369990
81,worland,44.0169,-107.9554,33.15,39,100,3.0,US,1700369990
82,brandon,27.9378,-82.2859,71.47,90,40,5.99,US,1700369991
83,swinoujscie,53.9105,14.2471,39.34,87,100,21.85,PL,1700369991
84,tobruk,32.0836,23.9764,66.54,50,41,29.77,LY,1700369763
85,reggane,26.7158,0.1714,66.9,28,0,11.01,DZ,1700369992
86,santander de quilichao,3.0095,-76.4849,64.56,95,72,2.82,CO,1700369993
87,east london,-33.0153,27.9116,67.14,94,75,5.75,ZA,1700369993
88,inhambane,-23.865,35.3833,77.49,69,41,7.94,MZ,1700369993
89,nema,57.5067,50.5011,19.85,72,27,8.08,RU,1700369994
90,pawai,24.2667,80.1667,78.8,46,0,5.44,IN,1700369994
91,luderitz,-26.6481,15.1594,64.53,63,0,7.78,NA,1700369995
92,okhotsk,59.3833,143.3,12.81,76,91,17.92,RU,1700369995
93,saudarkrokur,65.7461,-19.6394,31.35,78,99,5.93,IS,1700369840
94,suntar,62.1444,117.6319,21.81,95,99,4.94,RU,1700369996
95,north haven,41.3909,-72.8595,38.95,67,0,4.0,US,1700369996
96,coari,-4.085,-63.1414,78.76,77,31,1.88,BR,1700369997
97,hilo,19.7297,-155.09,73.62,89,87,5.01,US,1700369997
98,warrnambool,-38.3833,142.4833,72.36,68,99,8.34,AU,1700369998
99,labytnangi,66.6572,66.4183,-13.9,95,49,4.14,RU,1700369998
100,anadyr,64.75,177.4833,7.3,92,90,6.71,RU,1700369999
101,clear lake,43.138,-93.3794,39.92,57,0,1.86,US,1700369999
102,lazaro cardenas,17.9583,-102.2,78.96,88,11,3.33,MX,1700369999
103,swakopmund,-22.6833,14.5333,62.98,88,0,4.94,NA,1700370000
104,rabaul,-4.1967,152.1721,85.08,70,2,10.87,PG,1700370001
105,arraial do cabo,-22.9661,-42.0278,74.68,92,93,3.91,BR,1700370003
106,talnakh,69.4865,88.3972,-11.79,99,65,1.07,RU,1700370005
107,korla,41.7597,86.1469,41.99,30,100,2.73,CN,1700370006
108,constitucion,-35.3333,-72.4167,51.12,82,76,8.32,CL,1700370008
109,thompson,55.7435,-97.8558,8.76,92,75,2.3,CA,1700370011
110,ponta delgada,37.7333,-25.6667,66.18,72,40,16.11,PT,1700370012
111,tsiombe,-25.3,45.4833,87.49,41,0,2.51,MG,1700370013
112,olonkinbyen,70.9221,-8.7187,31.82,97,100,7.76,SJ,1700370014
113,west island,-12.1568,96.8225,84.18,65,75,12.66,CC,1700370016
114,awjilah,29.1081,21.2869,66.04,65,44,12.03,LY,1700370017
115,ulaangom,49.9811,92.0667,19.27,89,100,1.74,MN,1700369986
116,alesund,62.4723,6.1549,40.75,63,100,12.66,NO,1700370018
117,namibe,-15.1961,12.1522,74.34,82,99,13.56,AO,1700370020
118,hadibu,12.65,54.0333,79.75,78,16,9.35,YE,1700370020
119,huinan,42.6225,126.2614,30.96,72,88,13.38,CN,1700370021
120,xi'an,34.2583,108.9286,56.21,29,0,1.45,CN,1700369959
121,chonchi,-42.6128,-73.8092,49.12,99,87,4.14,CL,1700370023
122,susuman,62.7833,148.1667,-14.53,98,72,3.98,RU,1700370023
123,nemuro,43.3236,145.575,48.34,65,85,21.56,JP,1700370024
124,mocimboa,-11.3167,40.35,85.69,66,18,3.78,MZ,1700370024
125,trzebiatow,54.0615,15.2648,36.86,83,100,22.48,PL,1700370025
126,tual,-5.6667,132.75,83.01,69,41,4.0,ID,1700370025
127,chadan,51.2833,91.5833,15.44,94,100,3.6,RU,1700370026
128,ihosy,-22.4,46.1167,74.68,66,35,6.22,MG,1700369912
129,khandyga,62.6667,135.6,3.74,96,100,4.81,RU,1700370027
130,san clemente,33.427,-117.612,63.99,91,9,3.0,US,1700369760
131,wynyard,-41.0,145.7167,71.11,43,100,8.12,AU,1700370027
132,port mathurin,-19.6833,63.4167,77.97,79,95,14.99,MU,1700370028
133,east ballina,-28.8667,153.5833,78.8,52,54,9.6,AU,1700370030
134,kandyagash,49.4744,57.4233,26.1,60,0,5.12,KZ,1700370031
135,bethel,41.3712,-73.414,38.48,70,0,1.01,US,1700370032
136,touros,-5.1989,-35.4608,78.44,81,20,11.03,BR,1700369926
137,nuku'alofa,-21.1333,-175.2,77.34,73,40,11.5,TO,1700370034
138,nova sintra,14.8667,-24.7167,73.36,64,99,14.74,CV,1700370036
139,lihue,21.9789,-159.3672,78.04,81,90,10.02,US,1700369987
140,tucurui,-3.7661,-49.6725,81.7,64,92,3.15,BR,1700370038
141,hamilton,39.1834,-84.5333,40.98,78,4,1.54,US,1700370004
142,margaret river,-33.95,115.0667,73.4,55,66,21.0,AU,1700370042
143,aden,12.7794,45.0367,82.94,60,100,19.89,YE,1700370043
144,severo-yeniseyskiy,60.3725,93.0408,25.57,94,100,5.99,RU,1700370044
145,salekhard,66.53,66.6019,-13.14,93,31,4.23,RU,1700370044
146,parang,7.3704,124.2697,86.02,75,95,4.47,PH,1700370046
147,cooper's town,26.8667,-77.5167,76.37,77,28,12.62,BS,1700370048
148,vila velha,-20.3297,-40.2925,78.75,86,0,14.97,BR,1700370049
149,vorgashor,67.5833,63.95,-19.5,100,96,2.75,RU,1700369816
